Datetime,Tweet Id,Username,Reply,Retweet,Like,text_clean,text_preprocessed
2022-08-04 23:52:56+00:00,1555341044732293120,OHSFransCartenz,0,0,0,mypertamina daripada ga guna mending bisa nunjukin dimana ada bensin di timika cuk,"['mypertamina', 'ga', 'mending', 'nunjukin', 'mana', 'bensin', 'timika', 'cuk']"
2022-08-04 23:45:45+00:00,1555339236983046146,tarto888,0,0,0,,[]
2022-08-04 23:44:55+00:00,1555339025556582400,tarto888,1,0,0,fatmawati  punya pertamina malahdi jagakrsa juga samaboncos saya bang mobil buat online ngisinya pertamax😭,"['fatmawati', 'pertamina', 'malahdi', 'jagakrsa', 'samaboncos', 'bang', 'mobil', 'online', 'ngisinya', 'pertamax']"
2022-08-04 23:36:04+00:00,1555336799450370048,pertamina135,2,0,0,hai sobat ferry bachtiar mohon maaf atas ketidaknyamanan yang dialami mengenai hal tersebut qr code melalui aplikasi my pertamina sobat dapat cek pada melalui fitur subsidi tepat  terima kasih salsa,"['hai', 'sobat', 'ferry', 'bachtiar', 'mohon', 'maaf', 'ketidaknyamanan', 'alami', 'qr', 'code', 'aplikasi', 'my', 'pertamina', 'sobat', 'cek', 'fitur', 'subsidi', 'terima', 'kasih', 'salsa']"
2022-08-04 23:15:53+00:00,1555331721909809152,zeano00,0,0,0,cara daftar dan transaksi bbm subsidi tepat mypertamina beneran gampang loh guys yuk mari simak,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'beneran', 'gampang', 'loh', 'guys', 'yuk', 'mari', 'simak']"
2022-08-04 23:15:00+00:00,1555331496725995520,mld_cake,0,0,0,cara daftar dan transaksi bbm subsidi tepat mypertamina pastinya sangat mudah nih👍,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'pasti', 'mudah', 'nih']"
2022-08-04 23:14:23+00:00,1555331345135546368,dailynut_,0,0,0,yuk cari tahu biar paham nih cara daftar dan transaksi bbm subsidi tepat mypertamina,"['yuk', 'cari', 'biar', 'paham', 'nih', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 23:13:36+00:00,1555331145075605504,imfreendy,0,0,0,wah begini nih cara daftar dan transaksi bbm subsidi tepat mypertamina yuk simak infonya,"['nih', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'yuk', 'simak', 'info']"
2022-08-04 23:12:46+00:00,1555330935037382656,satria_xbima,0,0,0,nah guys harus paham ya cara daftar dan transaksi bbm subsidi tepat mypertamina,"['guys', 'paham', 'ya', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 23:12:12+00:00,1555330794322767879,thrichgirl,0,0,0,berikut ini cara daftar dan transaksi bbm subsidi tepat mypertamina untuk lebih jelasnya silahkan simak infonya,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'silah', 'simak', 'info']"
2022-08-04 23:11:02+00:00,1555330499517698048,daisysst,0,0,0,cara daftar dan transaksi bbm subsidi tepat mypertamina woww sangat mudah dipahami nih,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'woww', 'mudah', 'paham', 'nih']"
2022-08-04 23:09:48+00:00,1555330190787502081,yutaaajaaa,0,0,0,wah ternyata begini cara daftar dan transaksi bbm subsidi tepat mypertamina  mari disimak,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'mari', 'simak']"
2022-08-04 23:08:44+00:00,1555329922951835648,haechanleee_127,0,0,0,jadi begini cara daftar dan transaksi bbm subsidi tepat mypertamina nih guys mudah banget kan,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'nih', 'guys', 'mudah', 'banget']"
2022-08-04 23:08:35+00:00,1555329884905320448,illaundaitti,1,0,0,oh ya kalau qr code yang melalui web sudah saya dapatkan tapi qr code melalui aplikasi my pertamina tidak bisa saya dapatkan katanya password salah,"['oh', 'ya', 'qr', 'code', 'web', 'dapat', 'qr', 'code', 'aplikasi', 'my', 'pertamina', 'dapat', 'password', 'salah']"
2022-08-04 23:07:51+00:00,1555329698883743745,xiaopaoOO,0,0,0,yuk disimak berikut cara daftar dan transaksi bbm subsidi tepat mypertamina,"['yuk', 'simak', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 23:02:39+00:00,1555328388314775552,illaundaitti,0,0,0,halo sobat adi apakah qr code pada aplikasi my pertamina yang didownload melalui google play store belum bisa diklaim ya soalnya selalu muncul notifikasi password salah,"['halo', 'sobat', 'adi', 'qr', 'code', 'aplikasi', 'my', 'pertamina', 'didownload', 'google', 'play', 'store', 'klaim', 'ya', 'muncul', 'notifikasi', 'password', 'salah']"
2022-08-04 22:50:45+00:00,1555325396190580736,cak_an6,0,0,0,bangsat   kalian bisnis aplikasi diatas kesulitan rakyat,"['bangsat', 'bisnis', 'aplikasi', 'atas', 'sulit', 'rakyat']"
2022-08-04 22:48:57+00:00,1555324943423791104,Zyanpatra,0,0,0,syarat dan cara daftar mypertamina siapkan foto kendaraanpelat nomor,"['syarat', 'daftar', 'mypertamina', 'siap', 'foto', 'kendaraanpelat', 'nomor']"
2022-08-04 22:46:18+00:00,1555324277498339328,PODCASTRADIO6,0,0,0,tayang hari ini pk  siang wib klik link ini  lalu subscribe dan aktifkan loncengnya agar anda mendapatkan notifikasi jika sudah tayang,"['tayang', 'pk', 'siang', 'wib', 'klik', 'link', 'subscribe', 'aktif', 'lonceng', 'notifikasi', 'tayang']"
2022-08-04 22:46:04+00:00,1555324217855725568,CNNIndonesia,2,0,3,syarat dan cara daftar mypertamina siapkan foto kendaraanpelat nomor,"['syarat', 'daftar', 'mypertamina', 'siap', 'foto', 'kendaraanpelat', 'nomor']"
2022-08-04 22:28:12+00:00,1555319720697483264,SdpSedap,0,0,0,jadi begini cara daftar dan transaksi bbm subsidi tepat mypertamina ya guys 👍🏻,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'ya', 'guys', '']"
2022-08-04 22:27:41+00:00,1555319589718102017,totosawi,0,0,0,ternyata gini loh guys cara daftar dan transaksi bbm subsidi tepat mypertamina  simak yuk dan pahami juga ya,"['gin', 'loh', 'guys', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'simak', 'yuk', 'paham', 'ya']"
2022-08-04 22:27:23+00:00,1555319516460359680,kakasawi,0,0,0,cara daftar dan transaksi bbm subsidi tepat mypertamina mudah sekali mantap,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'mudah', 'mantap']"
2022-08-04 22:27:06+00:00,1555319441855877121,CashielGavin,0,0,0,inilah cara daftar dan transaksi bbm subsidi tepat mypertamina yuk disimak infonya,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'yuk', 'simak', 'info']"
2022-08-04 22:26:48+00:00,1555319368548249600,alexaxelle123,0,0,0,yuk simak cara daftar dan transaksi bbm subsidi tepat mypertamina,"['yuk', 'simak', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 22:26:29+00:00,1555319288772304897,totopakcoy,0,0,0,ini dia cara daftar dan transaksi bbm subsidi tepat mypertamina kuy disimak biar pada paham,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'kuy', 'simak', 'biar', 'paham']"
2022-08-04 22:26:03+00:00,1555319181150547968,totokangkung,0,0,0,nih buat yang belum tahu cara daftar dan transaksi bbm subsidi tepat mypertamina mudah kok bisa di baca ya 🥰👍🏻,"['nih', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'mudah', 'baca', 'ya', '']"
2022-08-04 22:25:37+00:00,1555319068776796160,GogoCeo,0,0,0,naah ini guys cara daftar dan transaksi bbm subsidi tepat mypertamina👍👍,"['naah', 'guys', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 22:25:19+00:00,1555318993183195136,rawittoto,0,0,0,yuk simak cara daftar dan transaksi bbm subsidi tepat mypertamina😙👍🏻,"['yuk', 'simak', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 22:24:54+00:00,1555318891169316864,tototimun,0,0,0,berikut ini cara daftar dan transaksi bbm subsidi tepat mypertamina semoga bermanfaat ya 🤗,"['daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina', 'moga', 'manfaat', 'ya', '']"
2022-08-04 21:36:33+00:00,1555306720397692929,RetnoWulan046,0,0,0,disimak guys untuk cara daftar dan transaksi bbm subsidi tepat mypertamina,"['simak', 'guys', 'daftar', 'transaksi', 'bbm', 'subsidi', 'mypertamina']"
2022-08-04 21:25:00+00:00,1555303816244776960,ngalamfess,0,0,4,oyi rek ada yg bpknyasaudaratetangga atau masmba nya sendiri daftar subsiditepat my pertamina ga mau minta tolong isi kuesioner ku buat laporan pkl kalo boleh 🥺,"['oyi', 'rek', 'yg', 'bpknyasaudaratetangga', 'masmba', 'nya', 'daftar', 'subsiditepat', 'my', 'pertamina', 'ga', 'tolong', 'isi', 'kuesioner', 'ku', 'lapor', 'pkl', 'kalo', '']"
2022-08-04 20:47:39+00:00,1555294417623609344,keuangannews_id,0,2,2,ini yang terjadi jika september anda belum daftar mypertamina,"['september', 'daftar', 'mypertamina']"
2022-08-04 19:14:58+00:00,1555271089898799104,MyPertaminaID,0,0,0,hai sobat loopy terkait jalur yang digunakan untuk pengisian bbm merupakan kebijakan operasional spbu mohon maaf atas ketidaknyamanannya  terima kasih adi,"['hai', 'sobat', 'loopy', 'kait', 'jalur', 'isi', 'bbm', 'bijak', 'operasional', 'spbu', 'mohon', 'maaf', 'ketidaknyamanannya', 'terima', 'kasih', 'adi']"
2022-08-04 19:03:40+00:00,1555268249927168001,MyPertaminaID,0,0,0,hai sobat sutarto mohon maaf atas ketidaknyamanannya silakan diinformasikan nomor spbu untuk dicek sobat bisa menggunakan bbm non subsidi atau mendatangi spbu terdekat lainnya tks adi,"['hai', 'sobat', 'sutarto', 'mohon', 'maaf', 'ketidaknyamanannya', 'sila', 'informasi', 'nomor', 'spbu', 'cek', 'sobat', 'bbm', 'non', 'subsidi', 'spbu', 'dekat', 'tks', 'adi']"
2022-08-04 18:57:10+00:00,1555266612672237568,MyPertaminaID,1,0,0,hai sobat mohon maaf atas ketidaknyamanannya mengenai hal tersebut silakan diinformasikan nik dan detail permasalahan melalui dm tks adi,"['hai', 'sobat', 'mohon', 'maaf', 'ketidaknyamanannya', 'sila', 'informasi', 'nik', 'detail', 'masalah', 'dm', 'tks', 'adi']"
2022-08-04 18:36:35+00:00,1555261432505286656,keuangannews_id,3,1,2,ini yang terjadi jika september anda belum daftar mypertamina,"['september', 'daftar', 'mypertamina']"
2022-08-04 17:26:48+00:00,1555243870123745280,beritasampit_id,0,0,0,implementasi mypertamina harus memenuhi standar pelayanan publik dalam pendataan pembatasan kuota bbm subsidi  tern,"['implementasi', 'mypertamina', 'penuh', 'standar', 'layan', 'publik', 'data', 'batas', 'kuota', 'bbm', 'subsidi', 'tern']"
2022-08-04 17:26:13+00:00,1555243725349040130,warkop_tkj,0,0,0,wakil bupati sleman berikan arahan sosialisasi penerapan dan pelatihan aplikasi mypertamina,"['wakil', 'bupati', 'sleman', 'arah', 'sosialisasi', 'terap', 'latih', 'aplikasi', 'mypertamina']"
2022-08-04 17:24:49+00:00,1555243371110830080,beritasampit_id,0,0,0,implementasi mypertamina harus memenuhi standar pelayanan publik dalam pendataan pembatasan kuota bbm subsidi,"['implementasi', 'mypertamina', 'penuh', 'standar', 'layan', 'publik', 'data', 'batas', 'kuota', 'bbm', 'subsidi']"
2022-08-04 17:24:04+00:00,1555243183285862400,cakranewsonline,0,0,0,implementasi mypertamina harus memenuhi standar pelayanan publik,"['implementasi', 'mypertamina', 'penuh', 'standar', 'layan', 'publik']"
